OPEN 6.2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue May  3 2016 10:55:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,Sun+Sky,1,0.189999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/sun+sky.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,plant c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
18,13:46:19,10282.5,0,5.372876383,0.038328859,159.291926,0.669854602,1.693339187,26.37367821,6,1.420000017,1,2.840000033,26.34026337,26.37367821,26.15974426,400.7584534,393.9941406,17.09408951,17.88355827,48.76047516,51.01241684,499.9882813,264.3551025,330.6391602,98.20497894,-10.59192467,0.904758692,1,-0.219565243,2.737391472,1,0,0.189999998,111115,0.833313802,0.000669855,299.5236782,299.4902634,50.22746885,0.240045123,3.44959365,35.12646393,17.24290565,26.35697079,3.446194258,0.037818458,1.756254464,1.689939795,0.023681869,15.64326024,0.404300241,50.24689072,391.4401325,0.006896849
19,13:56:19,10882.99998,0,5.474857953,0.037957087,153.0138567,0.663723169,1.6936754,26.39076042,6,1.420000017,1,2.840000033,26.33774376,26.39076042,26.15980911,401.0609436,394.1780701,17.13676071,17.91885376,48.88047409,51.11129761,500.0658264,264.2635193,330.8722534,98.18691254,-10.59192467,0.904758692,1,-0.219565243,2.737391472,1,0,0.189999998,111115,0.833443044,0.000663723,299.5407604,299.4877438,50.21006803,0.240347046,3.453072327,35.16835633,17.24950257,26.36425209,3.447675396,0.037456475,1.759396927,1.688278469,0.023454765,15.02395817,0.388184601,50.27875115,391.5755848,0.00702978
Remark=,"""13:56:37 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,14:05:19,11422.49999,0,5.377889474,0.034939484,136.5742811,0.616931594,1.708531016,26.42042351,6,1.420000017,1,2.840000033,26.33692169,26.42042351,26.15973091,399.7433472,393.0001526,17.10153961,17.82852745,48.78408051,50.8578949,500.0903015,264.2997437,329.1327209,98.19034576,-10.4511776,0.860279322,0.666666687,-0.219565243,2.737391472,1,0,0.189999998,111115,0.833483836,0.000616932,299.5704235,299.4869217,50.21695066,0.260642601,3.459120291,35.22872095,17.4001935,26.3786726,3.450610408,0.03451486,1.750589275,1.700021133,0.02160954,13.41027588,0.34751712,49.8785474,390.4437615,0.006870165
Remark=,"""14:05:37 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,14:06:07,11470.5,0,5.029959023,0.034656689,151.3865709,0.612706849,1.710609195,26.42558861,6,1.420000017,1,2.840000033,26.33879662,26.42558861,26.16221619,400.1474609,393.8235168,17.09510612,17.81707573,48.76313019,50.82252121,500.1237183,265.065979,330.0205383,98.19597626,-10.00513268,0.841823816,0.666666687,-0.219565243,2.737391472,1,0,0.189999998,111115,0.83353953,0.000612707,299.5755886,299.4887966,50.36253538,0.264114182,3.460174341,35.2374351,17.42035937,26.38219261,3.451327168,0.03423887,1.749565145,1.701762023,0.021436444,14.86555212,0.384402059,49.82800402,391.4325152,0.006402964
22,14:06:08,11471,0,5.010343896,0.034690235,152.5143287,0.613106218,1.710088178,26.42338371,6,1.420000017,1,2.840000033,26.33854294,26.42338371,26.16224098,400.1269531,393.8263245,17.09539795,17.81784058,48.76457977,50.82534409,500.1216431,265.0527344,329.9787292,98.19574738,-10.00513268,0.841823816,0.666666687,-0.219565243,2.737391472,1,0,0.189999998,111115,0.833536072,0.000613106,299.5733837,299.4885429,50.3600189,0.264144299,3.45972435,35.23293465,17.41509407,26.38096333,3.451076841,0.034271611,1.749636172,1.701440669,0.021456979,14.97625849,0.387262911,49.83744337,391.4446469,0.006379005
23,14:06:19,11482.5,0,4.962196002,0.034700603,154.7812867,0.613028624,1.709657113,26.42321396,6,1.420000017,1,2.840000033,26.33862114,26.42321396,26.16114235,400.0531311,393.8098145,17.09649277,17.81890106,48.77562332,50.83662796,500.0815735,264.2143555,330.9012451,98.21215057,-10.00513268,0.841823816,1,-0.219565243,2.737391472,1,0,0.189999998,111115,0.833469289,0.000613029,299.573214,299.4886211,50.20072691,0.262335298,3.459689708,35.22669738,17.40779632,26.38091755,3.451067519,0.034281731,1.750032594,1.701034925,0.021463325,15.20140303,0.393035625,49.84989999,391.4510241,0.006319181
Remark=,"""14:11:37 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,14:16:19,12082.5,0,5.22043899,0.033436589,133.524359,0.596606575,1.725471222,26.48349762,6,1.420000017,1,2.840000033,26.33959198,26.48349762,26.16017914,399.9936523,393.447937,17.08468628,17.78782654,48.72685242,50.73226166,500.0375671,265.0086365,331.9882507,98.1873703,-10.33099937,0.824381113,1,-0.219565243,2.737391472,1,0,0.189999998,111115,0.833395945,0.000596607,299.6334976,299.489592,50.3516403,0.264533403,3.472011134,35.36107671,17.57325018,26.4115448,3.457309055,0.033047506,1.746539911,1.710769144,0.020689299,13.11040568,0.339369829,49.54077296,390.9663903,0.006615008
